x,is_hedge_fund
helena special investments llc,N
"idealab studio, llc",N
"incj, ltd.",N
ent4.0 technology sponsor llc,N
blue ant media inc.,N
"mpm bioventures 2014, l.p.",N
new finance consultants ltd,N
tethys fountain ltd.,N
blackrock inc.,N
"ecoark holdings, inc.",N
"va partners i, llc",N
"altenergy, llc",N
epiphany technology sponsor llc,N
sb management ltd,N
"ah bio fund ii, l.p.",N
"decheng capital global life sciences fund iv, l.p.",N
mdc industry holding co llc,N
custodian ventures llc.,N
"cormorant asset management, lp",Y
"hony capital fund v, l.p.",N
"tpg group holdings (sbs) advisors, inc.",N
"cycle capital fund iii, l.p.",N
breakthrough energy investments llc,N
famatown finance ltd,N
"embraer aircraft holding, inc.",N
evergreen llc,N
alphaeon 1 llc,N
"lux venture partners iii, llc",N
"finback evolv, llc",N
"data collective iv, l.p.",N
"general catalyst gp v, llc",N
"h.i.g. bio-exagen, l.p.",N
maya maritime llc,N
"cbi usa, inc.",N
oak hill advisors lp,Y
sb global advisers ltd,N
enerflex ltd.,N
ff top holding llc,N
season smart ltd,N
"trigran investments, inc.",Y
"jcp investment management, llc",Y
"ecp controlco, llc",N
"green ohio ventures, llc",N
"fog cutter holdings, llc",N
faze holdings inc.,N
cox enterprises inc et al,N
feutune light sponsor llc,N
fg new america investors llc,N
"arex capital management, lp",Y
"fifth wall acquisition sponsor iii, llc",N
fsc sponsor llc,N
crestovo investor llc,N
finserv holdings ii llc,N
nevada sea investments inc,N
"tps income, inc.",N
"jackson investment group, llc",N
epl linco trust,N
duddell street holdings ltd,N
"luxor capital group, lp",Y
"lygos, inc.",N
mp special purpose corp,N
"profrac holdings, llc",N
"flagship ventures fund v, l.p.",N
limaye dilip r.,N
lighthouse capital ltd,N
"srax, inc.",N
rpiii rainsanity lp,N
"motive capital fund i-a, lp",N
"bml investment partners, l.p.",N
atg fund ii llc,N
fortune rise sponsor llc,N
forum investors iii llc,N
forum investors iv llc,N
"pacific oak strategic opportunity reit, inc.",N
frazier lifesciences sponsor llc,N
syncona portfolio ltd,N
pacific investment management co llc,Y
jana partners llc,Y
alussa energy sponsor llc,N
"deer park road management company, lp",N
"amherst single family residential partners vi, lp",N
frontier acquisition sponsor llc,N
nz viii (gp) ltd,N
medigus ltd.,N
"tcg 3.0 fuji, lp",N
mak capital one llc,Y
"healthcap vii, l.p.",N
"hong kong ruishang international trade co., ltd",N
"jirka rysavy, llc",N
"scion asset management, llc",Y
"sessa capital (master), l.p.",N
benefit street partners llc,Y
marathon asset management lp,Y
whitebox advisors llc,Y
"centerbridge credit partners master, l.p.",N
"cyrus capital partners, l.p.",Y
attestor ltd,N
"newtyn management, llc",Y
hawk ridge capital management lp,Y
"keyframe capital partners, l.p.",N
honeywell international inc,N
"inglesea capital, llc",N
fin capital partners lp,Y
"warlander asset management, lp",Y
"owl creek asset management, l.p.",Y
"cetus capital, llc",N
jefferies group llc,N
baupost group llc/ma,Y
"hollywood burger holdings, inc.",N
hpso spv ltd,N
puretech health llc,N
"lightstone ventures, l.p.",N
"fs development holdings, llc",N
"atlas venture fund x, l.p.",N
"nostrum pharmaceuticals, llc",N
satellite overseas (holdings) ltd,N
"crescent park management, l.p.",Y
genesis park ii lp,N
"sansone capital management, llc",N
"growth equity opportunities 17, llc",N
getty investments llc,N
"koch icon investments, llc",N
dcm iv l p,N
"hound partners, llc",Y
"glenfarne sponsor, llc",N
"global blockchain sponsor, llc",N
api (hong kong) investment ltd,N
"sl globetrotter, l.p.",N
certares opportunities llc,N
apollo principal holdings iii gp ltd,N
"expedia group, inc.",N
juweel investors (spc) ltd,N
golden meditech stem cells (bvi) co ltd,N
"harbert fund advisors, inc.",Y
fox paine international gp ltd,N
"storage capital, llc",N
shipping participations inc.,N
"silver (equity) holdings, lp",N
gold sino assets ltd,N
gogreen sponsor 1 lp,N
bw group ltd,N
"luxor capital partners, lp",Y
new fortress energy inc.,N
"idea men, llc",N
"francisco partners iv, l.p.",N
"spectrum equity vii, l.p.",N
origin rise ltd,N
international paper co /new/,N
"flexpoint special assets fund, l.p.",N
"northern right capital management, l.p.",Y
"railroad ranch capital partners, lp",Y
greenbox pos llc,N
mss gb spv lp,N
"1315 capital ii, l.p.",N
"fall line endurance gp, llc",N
kodiak venture partners iii lp,N
greenrose associates llc,N
"true harvest, llc",N
"ya ii pn, ltd.",N
cm change industrial lp,N
grindrod ltd,N
taylor maritime investments ltd,N
industrial partnership investments proprietary ltd,N
rpd fund management llc,Y
virgin group acquisition sponsor ii llc,N
"mayfield xv, a cayman islands exempted limited partnership",N
"sculptor capital management, inc.",N
"cbep investments, llc",N
"kingdom building, inc.",N
silver point capital l.p.,Y
"jacobs private equity, llc",N
"star equity holdings, inc.",N
"fwhc holdings, llc",N
"hof village, llc",N
"national football museum, inc.",N
"abigail ii, llc",N
"fatboy capital, l.p.",N
"h partners management, llc",Y
scopia capital management lp,Y
"ategra capital management, llc",Y
"centerbridge special credit partners iii-flex, l.p.",Y
patel paresh,N
"securekloud technologies, inc.",N
ck amarillo lp,N
"tilray brands, inc.",N
sinclair companies,N
highcape capital acquisition llc,N
goldstein phillip,N
"highpeak energy partners ii, lp",N
global infrastructure solutions inc.,N
"frazier life sciences public fund, l.p.",N
"ccmp capital, lp",Y
"redpoint ventures vi, l.p.",N
"forerunner partners iii, l.p.",N
"institutional venture management xvi, llc",N
mitsui sumitomo insurance co ltd,N
"bond capital associates, llc",N
"hirequest, inc.",N
stone point capital llc,Y
"horizon ii sponsor, llc",N
china huaneng group treasury management (hong kong) ltd,N
px global advisors llc,N
fresenius medical care holdings inc /ny/,N
"hunt companies, inc.",N
"mudrick capital management, l.p.",Y
"amc entertainment holdings, inc.",N
"axioma ventures, llc",N
abigail llc,N
horizon fuel cell technologies pte ltd,N
"hillhouse capital advisors, ltd.",N
resource capital fund vii l.p.,N
"senvest management, llc",Y
oasis management co ltd.,N
gotham green partners llc,N
"pinebridge gem ii g.p., l.p.",N
iconic sports management llc,N
"qiming u.s. healthcare gp ii, llc",N
smiths group international holdings ltd,N
honeycomb investments ltd,N
"bcpe watson (de) bml, lp",N
"dpw holdings, inc.",N
"nantahala capital management, llc",Y
"frazier healthcare vii, l.p.",N
"clarus lifesciences iii, l.p.",N
"new enterprise associates 14, l.p.",N
kkr iris investors llc,N
andruela vincent,N
flawless management inc.,N
"bios fund ii, lp",N
glendon capital management lp,Y
kingstown capital management l.p.,Y
great eagle freight ltd,N
bandera partners llc,Y
innovative international sponsor i llc,N
"strategic ir, inc.",N
genesis partners iii lp,N
bendele phillip,N
jermyn street associates llc,N
"longitude capital partners iii, llc",N
revolution management co llc,N
"kleiner perkins caufield & byers xiv, llc",N
"w capital partners iii, l.p.",N
"institutional venture partners xiii, l.p.",N
cpmg inc,Y
curative ventures v llc,N
great hill investors llc,N
winder investment pte ltd,N
oman international development & investment co. saog,N
"steamboat capital partners, llc",Y
"interprivate acquisition management iii, llc",N
biotechnology value fund l p,Y
"trian fund management, l.p.",Y
"dbr capital, llc",N
"forgepoint cybersecurity gp-i, llc",N
"kpcb digital growth fund ii, llc",N
c5 investors general partner ltd,N
"boxer capital, llc",N
"ithax acquisition sponsor, llc",N
orion resource partners (usa) lp,Y
"towerbrook investors, ltd.",N
"clearlake capital group, l.p.",Y
"avalon ventures xi, l.p.",N
"jatt ventures, l.p.",N
"athanor capital, lp",Y
jiya holding co llc,N
"leonard green & partners, l.p.",Y
"tif partners, llc",N
jupiter founders llc,N
cat rock capital management lp,Y
"sagard credit partners, lp",N
harthorne capital inc.,N
hs chronos llc,N
"lagunita biosciences, llc",N
"lagunita, llc",Y
"k5 private investors, l.p.",N
ignition acquisition holdings lp,N
grain bud holding ltd,N
baihui partners l.p.,N
"eldridge industries, llc",N
"kensington capital partners, llc",N
pontifax management 4 g.p. (2015) ltd.,N
"zensports, inc.",N
isq global fund ii gp llc,N
silver bloom properties ltd,N
griffin highline capital llc,N
"foresite capital fund iv, l.p.",N
"osmium partners, llc",Y
quadro sponsor llc,N
geveran investments ltd,N
archer ltd,N
"quintana capital group, l.p.",N
"vepf vii spv i, l.p.",N
"cerberus telecom acquisition holdings, llc",N
"orient express & co., ltd.",N
"bdt capital partners, llc",Y
vintage capital management llc,Y
"viex capital advisors, llc",Y
vertex pharmaceuticals inc / ma,N
"corbin opportunity fund, l.p.",Y
idg-accel china growth fund iii l.p.,N
lamf spac holdings i llc,N
jefferies financial group inc.,N
"bios equity partners, lp",N
biological mimetics inc,N
"chondrial therapeutics holdings, llc",N
"delta air lines, inc.",N
"avenir management company, llc",Y
"ts innovation acquisitions sponsor, l.l.c.",N
"beigene, ltd.",N
cwam lc sponsor llc,N
"mng enterprises, inc.",N
praetorian capital management llc,N
"legacy tech partners, llc",N
e-house (china) enterprise holdings ltd,N
lifeco llc,N
"slt investors, llc",N
msd capital l p,N
jss ltf holdings ltd,N
green ltf holdings ii lp,N
"partners group private equity (master fund), llc",N
galluppi stefan,N
"sudbury capital fund, lp",Y
"vision knight capital (china) fund ii, l.p.",N
conner growth holding ltd,N
bp technology ventures inc.,N
"talanta investment group, llc",N
thomvest asset management ltd.,N
"ginko international investment co., ltd",N
leawood capital venture fund lp,N
"golden gate private equity, inc.",Y
bz industrial ltd,N
"user-friendly phone book, llc",N
craven house capital north america llc,N
agn holdings ltd,N
bayfield equity partners ltd,N
eva pacific pty ltd,N
"wheat wind farms, llc",N
"mcleod management co., llc",N
"sk global chemical co., ltd.",N
"beehouse, llc",Y
lowell farms inc.,N
sbt investors llc,N
pavmed inc.,N
"centurium capital partners 2018, l.p.",N
"orec investment holdings, llc",N
zwanziger ventures llc,N
"shv management services ii, lp",N
"nbvm gp, llc",N
"m.d.c. holdings, inc.",N
"madison international realty holdings, llc",Y
"buxton helmsley group, inc.",N
mana capital llc,N
olesen value fund l.p.,Y
"maquia investments north america, llc",N
lucky liefern llc,N
"two point one, llc",N
marblegate acquisition llc,N
"harbert discovery fund, lp",Y
"greenhaven road investment management, l.p.",Y
martin midstream partners l.p.,N
politan capital management lp,Y
inbocalupo pty ltd,N
zhonghuan singapore investment & development pte. ltd.,N
corvex management lp,Y
mvm partners llp,N
topmdx ltd.,N
korr value l.p.,Y
"ally bridge group-wtt global life science capital partners, l.p.",N
standard general l.p.,Y
"crw capital, llc",N
3d investment partners pte. ltd.,N
access industries holdings llc,N
"glacier point advisors, llc",N
"tilray, inc.",N
"pura vida investments, llc",Y
"paypal holdings, inc.",N
goldman sachs group inc,N
mercury sponsor group i llc,N
rubric capital management lp,Y
incyte corp,N
jz education investment ltd,N
rg education investment ltd,N
"starwood capital group global ii, l.p.",N
best road holdings ltd,N
"import & export guojin development co., ltd",N
tiger initiative investment ltd,N
super plus holding ltd,N
wu yue investment ltd,N
lucky monkey holding ltd,N
sensegain prosperity holding ltd,N
innovation spark technology ltd,N
ashmore investment management ltd,N
"falcon fund 2 holding company, l.p.",N
prescience investment group llc,N
agenus inc,N
fairmount funds management llc,Y
gsam holdings llc,N
charterhouse general partners (ix) ltd,N
anglo irish management llc,N
prime movers lab fund i lp,N
"mondee holdings, llc",N
"edison partners viii, lp",N
motion acquisition llc,N
"private capital management, llc",Y
"motos america, inc.",N
dc rainier spv llc,N
jhl capital group llc,Y
qvt financial lp,Y
"lionheart equities, llc",N
"h&f corporate investors viii, ltd.",N
"green equity investors vi, l.p.",N
"murphy canyon acquisition sponsor, llc",N
"l3harris technologies, inc. /de/",N
"sumitomo chemical co., ltd.",N
alpinvest partners b.v.,Y
"slta iv (gp), l.l.c.",N
nb alternatives advisers llc,Y
"thoma bravo fund xi, l.p.",N
"hermes usa investors venture ii, lp",N
"lexington co-investment holdings iii, l.p.",N
harbourvest partners llc,Y
newlinks technology ltd,Y
beijing zhenwei qingfeng economic management consulting partnership (l.p.),N
apex trading group inc,N
iszo capital lp,Y
unicorn global inc.,N
moody rlm jr. interest ltd,N
natural gas services group inc,N
"material impact fund ii, l.p.",N
sherborne investors lp,N
"capricorn-libra investment group, lp",N
"insight venture partners x, l.p.",N
"magnolia capital fund, lp",Y
"caesars entertainment, inc.",N
"tcv viii (a), l.p.",N
platinum equity llc,N
value capital partners (pty) ltd,N
"metlife investment management, llc",N
"jk biopharma solutions, inc",N
"e&investment, inc.",N
"dong-a st co., ltd",N
"new beginnings sponsor, llc",N
realty advisors inc,N
golar lng ltd,N
nfe smrs holdings llc,N
"hmi capital management, l.p.",Y
"bellevue capital partners, llc",N
newbury street acquisition sponsor llc,N
newcourt spac sponsor llc,N
"hangzhou liaison interactive information technology co., ltd.",N
"newegg commerce, inc.",N
"west family investments, inc.",N
benchmark capital partners vi lp,N
"shasta ventures ii gp, llc",N
greylock xiii limited partnership,N
riverwood capital gp ii ltd.,N
"thrc holdings, lp",N
"columbia capital iv, llc",N
"eig neptune equity aggregator, l.p.",N
"nightdragon acquisition sponsor, llc",N
"m&m residual, llc",N
"thompson nikola, llc",N
nimbus holdings llc,N
green nikola holdings llc,N
"wi ventures, llc",N
lsp 6 holding c.v.,N
"corre partners management, llc",Y
eriksen capital management llc,N
"smoak capital management, llc",N
"nocturne sponsor, llc",N
"northview sponsor i, llc",N
"lc9 skipper, l.p.",N
pallinghurst graphite international ltd,N
"innovest global, inc.",N
congregation ahavas tzdokah vchesed inc.,N
ellis international l.p.,N
"aigh investment partners, llc",Y
"eig nova equity aggregator, l.p.",Y
"premier macy management holdings, llc",N
micro hospital holding llc,N
"omega fund v, l.p.",N
stonepeak gp investors manager llc,N
cochlear ltd,N
"foundry group select fund, l.p.",N
anamar investments inc,N
"hg vora capital management, llc",Y
supernova partners llc,N
"ll capital partners i, l.p.",Y
"orchard first source asset management, llc",N
eagle point credit management llc,Y
southern bancshares nc inc,N
"avant diagnostics, inc",N
"havencrest healthcare partners, l.p.",N
m33 growth i l.p.,N
china grand pharmaceutical & healthcare holdings ltd,N
steiner leisure ltd,N
singleton philip austin jr.,N
nextera energy inc,N
"arclight ctc holdings ii, l.p.",N
"bregal sagemount i, l.p.",N
"true wind capital, l.p.",N
"walgreens boots alliance, inc.",N
camber capital management lp,Y
"greyt ventures, llc",N
bt de investments inc.,N
prehype ventures llc,N
northern star sponsor llc,N
"thrive capital partners iii, l.p.",N
"avista capital partners iii gp, l.p.",N
altchem ltd,N
deer ix & co. ltd.,N
providence equity partners viii-a l.p.,N
syntone ventures llc,N
"saltchuck resources, inc.",N
